Timestamp,Game ID,Date (UTC),Home Team,Home Score,Away Team,Away Score,Game Status
2025-02-09 02:36:30,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:36:30,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:36:30,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:36:30,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:36:30,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:36:30,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:36:30,0022400745,2025-02-09T01:00:00Z,Bulls,72,Warriors,55,3rd Qtr             
2025-02-09 02:36:30,0022400746,2025-02-09T01:00:00Z,Grizzlies,67,Thunder,88,3rd Qtr             
2025-02-09 02:36:30,0022400747,2025-02-09T01:00:00Z,Timberwolves,67,Trail Blazers,73,3rd Qtr             
2025-02-09 02:36:30,0022400748,2025-02-09T01:30:00Z,Knicks,44,Celtics,61,2nd Qtr             
2025-02-09 02:36:30,0022400749,2025-02-09T02:00:00Z,Suns,32,Nuggets,37,End of 1st Qtr      
2025-02-09 02:36:30,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:36:30,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:41:47,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:41:47,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:41:47,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:41:47,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:41:47,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:41:47,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:41:47,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,64,3rd Qtr             
2025-02-09 02:41:47,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,3rd Qtr             
2025-02-09 02:41:47,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,78,3rd Qtr             
2025-02-09 02:41:47,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:41:47,0022400749,2025-02-09T02:00:00Z,Suns,34,Nuggets,39,2nd Qtr             
2025-02-09 02:41:47,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:41:47,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:41:50,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:41:50,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:41:50,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
